0,1
1257,"{510810758, 168780425, 254781328, 198578706, 65183764, 20287001, 22583724, 267069244, 445228096, 60136266, 6356042, 524212819, 292745174, 12886487, 3917273, 83758810, 8774362, 12917343, 168659813, 17712875, 134151673, 2177279}"
2050,"{359903162, 108612257, 341503010, 61475492, 139259, 75791, 88110672, 397114104, 145009203, 83865491, 41682519, 22729496, 1286810, 77292955, 329470399}"
2932,set()
6559,"{182793065, 255872684, 301061357, 157749010, 159348916, 269938709, 118721047, 322689464, 158350077, 82420255}"
8612,set()
9147,"{16926561, 73417221, 308167113, 137937464, 328448843, 6084115, 137458200, 154157919}"
9804,"{358499843, 235316228, 132029958, 236412935, 62730759, 176640520, 446065163, 223922700, 50766862, 47116815, 36814864, 6934546, 72143378, 124432916, 76915734, 176922650, 193256986, 472272928, 89570336, 74043428, 133659689, 56158251, 157512747, 42187308, 451757614, 150256687, 147611696, 145549362, 244466231, 145980472, 399755833, 245622330, 126890047, 124227136, 287010368, 171917892, 402629189, 300901959, 124817991, 164326990, 7781456, 140387414, 370555479, 13060185, 63347801, 95643231, 53766244, 147188329, 170127979, 194463341, 292473454, 373984368, 65652337, 44138610, 65017459, 218366079, 95747711, 266865282, 7862914, 505101954, 37139589, 172740742, 916615, 91472012, 435001996, 234899087, 235199122, 112568470, 159184022, 103071382, 328412828, 234851997, 77634720, 36155554, 77471908, 243613353, 179820204, 141246125, 61814964, 49226421, 66171062, 78931639, 79226554, 212871357, 576131262, 144594623, 32685245, 38653121, 375198915, 21398214, 381461702, 49400007, 55903945, 227377354, 96280779, 236282570, 308553929, 135441101, 164526288, 49389269, 82760407, 333817564, 180720351, 5807331, 293933285, 240346343, 232575211, 207696620, 378454767, 104675568, 10088177, 52223215, 207011569, 52700408, 214930171, 56572, 36251393, 173972738, 207348995, 411548932, 267043596, 107760399, 17051409, 78258451, 145576724, 94366998, 85127448, 329960729, 223971098, 92942619, 347404571, 54357789, 113189662, 136623904, 136188193, 54740258, 8472866, 183356194, 196951333, 2478374, 425335592, 124505898, 10896172, 243569964, 145893679, 382013748, 159922486, 153959223, 138163001, 162334011, 37887296, 568641, 103166273, 431601473, 55595333, 135225158, 157425482, 196354379, 265413964, 67846480, 67911504, 161364818, 368571740, 315775840, 107308385, 150823781, 50302822, 113251687, 190394730, 23402346, 271891309, 241527663, 272161647, 157910897, 499984753, 99174264, 1519480, 163966840, 93033337, 343618427, 266046337, 39818114, 117129605, 69062029, 242423693, 302346127, 32151440, 52429713, 241696657, 878483, 341557137, 119393180, 287479713, 205245347, 204507046, 76662183, 59318184, 110533549, 82430895, 16916401, 329635763, 31745978, 235511230, 55042495, 456213951, 20113344, 212699073, 276492227, 222132676, 137781192, 244380620, 316365263, 261108181, 278218199, 278869465, 55164889, 177978367, 26296796, 236097500, 279032797, 252623325, 368231906, 9595363, 93938151, 89139693, 253324785, 43730418, 253300723, 290695668, 58035702, 202296311, 62702072, 35605500, 193882623}"
10942,"{146835841, 305752833, 517124865, 206714884, 533391234, 23225734, 166956041, 208688905, 4926732, 41808013, 146885006, 222745486, 13710608, 268094861, 444526100, 21429654, 97731224, 32157976, 398616, 124103708, 130881311, 159475744, 279968160, 210893729, 200127394, 585638819, 224770213, 142834727, 10197418, 4492330, 3294379, 62931247, 42159, 263223215, 116528050, 70281139, 433001014, 523150262, 146253753, 178523067, 269379583, 498235965, 432005310, 227208382, 418397124, 193408068, 172965445, 316099271, 88224583, 283621065, 259576522, 213690317, 61565902, 68961619, 169904852, 210164950, 164322391, 194780253, 2197088, 255013858, 479795814, 492862183, 231443430, 525569767, 249658986, 131280742, 343929838, 331384943, 368557422, 4200048, 183297267, 561830903, 152956411, 517503740, 138459774, 384896383}"
17365,"{228757062, 198403401, 240206698, 235157643, 191883115, 226575565, 196716078, 354792815, 441411537, 156913874, 208908669, 260181143, 323406712, 283259931, 185919069, 159403646}"
35374,"{173972738, 80373637, 304855057, 233294488, 66203, 534547616, 473908260, 225701, 26254757, 36093881, 29585724, 179752895, 421310529, 52965828, 275217222, 147249480, 228585545, 200638428, 64555357, 469854, 2607717, 331107446, 17663224, 267275898, 372491135}"
41372,"{158454410, 268680463, 38019472, 112840591, 137449241, 170684068, 177696936, 2521391, 128903862, 213477817, 165740863, 153313729, 80830916, 234259780, 298344012, 202702036, 400332758, 197700699, 186359515, 256547810, 64215270, 119472871, 265483366, 155945077, 400775163}"
42495,"{93414789, 13837324, 185892501, 21429654, 14371098, 159973404, 84259622, 96222632, 3294379, 19516460, 22144171, 39943859, 125846456, 189850937, 79136191, 4514241, 43674945, 287568, 28753625, 44556512, 152812001, 65401443, 27267317, 381910520, 93117561, 7748220}"
43668,set()
50385,"{62082060, 291770894, 326807054, 38968849, 50475028, 221902870, 82555930, 166495740, 241655837, 217533980, 187087391, 311020065, 122537508, 50169897, 161579049, 100418090, 472694314, 235100717, 194157113, 125218874, 382148668, 243363391, 107078216, 391796811, 179934799, 58889811, 54892634, 202812518, 34273386, 13827187, 86202487, 28062842, 87451770, 340640381, 170380414, 94867073, 151414919, 67103368, 72842889, 181066892, 269836437, 60065431, 384938648, 180641436, 143254180, 242707108, 88180388, 48587946, 81515696, 187206838, 206655677, 198489790, 125209281, 173628615, 44529353, 157439693, 224597710, 9562319, 172404953, 617542879, 96112869, 206074085, 25791720, 157214442, 69307634, 50736374, 73989879, 84539640, 52700408, 136168697, 183828734, 7547134, 155280128, 124299521, 172565250, 129376006, 167752458, 30904587, 269517596, 56613, 190133039, 53659952, 321297711, 138362173, 221940034, 86190915, 434267972, 260336970, 527119180, 198346580, 157477726, 115752800, 182824801, 278259557, 11397480, 44776811, 234526060, 313451884, 218196335, 151438199, 1546616, 28145023, 155759490, 63100808, 360796052, 36859797, 504734103, 58493847, 294938520, 84459930, 401296282, 46067099, 387121048, 111948707, 114357668, 100473258, 126118315, 104015277, 160091054, 200357301, 63393211, 191940564, 68380117, 52437462, 152403417, 161979867, 34223069, 9308653, 185298927, 34571770, 291036156}"
53771,"{588160035, 1447493, 865734, 555154128, 278529143, 226948345, 43428730, 111195}"
56572,"{70414340, 35065861, 18464777, 173699081, 147832843, 18632724, 77385749, 176922650, 388542495, 161579049, 505999410, 688922676, 133793844, 1665081, 155951163, 125550656, 131125323, 81694800, 381063252, 25628758, 125481051, 15806556, 246820955, 63078494, 264169581, 34101358, 267438192, 25127026, 154032249, 145664127, 154585217, 42268801, 178227333, 144736390, 157036682, 903307, 178618508, 175974541, 142897294, 217411727, 149061780, 4812949, 90163351, 101515418, 439021724, 374927518, 1380525, 427503789, 12017844, 66171062, 28614843, 490610875, 199346366, 361478335, 96280779, 363499728, 26446033, 180474065, 366196950, 313831639, 327977177, 73994458, 71448799, 44556512, 178194663, 50174188, 56529135, 77304062, 124958975, 60133647, 40401167, 105611539, 237934877, 22941985, 2478374, 53659952, 79907121, 22389042, 10873145, 149598522, 179499322, 83401019, 139891007, 239649089, 52238661, 144425289, 298627403, 172259665, 30488914, 23920984, 39563617, 62769506, 244257123, 110346598, 140978536, 38699374, 147083632, 85371251, 176198003, 154937726, 528791934, 192006535, 288076167, 392784267, 86299024, 139434385, 134865299, 202959252, 504734103, 32139676, 49498526, 24943009, 166812066, 50057635, 225701, 223160742, 129003951, 33546672, 163690928, 18219445, 234482101, 193919413, 65995, 1896907, 104892877, 68046, 390601170, 38969825, 562977251, 35801574, 157665769, 5177834, 241822187, 141421043, 290695668, 6392314, 1106427, 245076479, 154733056, 143227396, 278186502, 17125896, 238742025, 192530954, 307005961, 173228556, 223922700, 211759628, 291770894, 21594641, 153223697, 194140691, 18553375, 311020065, 244892195, 6322726, 211139111, 369506855, 347984432, 31834678, 260082230, 119468598, 307860025, 30325307, 16198206, 329972289, 85830211, 208886345, 322925134, 372804178, 181068372, 225552980, 180415074, 216994403, 192707173, 59331180, 229622389, 218954357, 84376183, 98361978, 64612987, 522693245, 188269183, 93483647, 161993349, 17146503, 96141959, 89567882, 360116878, 79540883, 50252436, 64641693, 147530398, 532232864, 539028129, 296610466, 188746403, 222585508, 192678566, 140780204, 106480301, 226312878, 508203693, 5833392, 70130350, 276853426, 152312500, 163955383, 97493688, 231674551, 437400247, 88781503, 141224641, 39668422, 50246342, 242590412, 102558414, 83712729, 74185435, 42210012, 68358892, 84245229, 61166318, 289233646, 64582384, 65159923, 87945984, 267043596, 8405773, 37393164, 183364368, 42232596, 20292373, 91970324, 148034327, 153703193, 360428313, 81251100, 153154335, 19243810, 173757230, 132129583, 103015216, 42363696, 53887794, 58417979, 99521342, 72952639, 219503425, 90608451, 124457796, 132346693, 140202824, 212951881, 132780876, 44235597, 52800337, 43127634, 66839379, 104121172, 25719636, 135541593, 96815963, 41855838, 358456158, 282923875, 168432488, 466373481, 88982386, 23929721, 41864060, 18312070, 149212043, 198986637, 312961940, 138064798, 28642207, 518998943, 102017954, 137372581, 69755816, 33794984, 283349935, 514603951, 183630768, 62247859, 84673462, 54635447, 48237496, 244380620, 383824844, 149517262, 59349976, 83844057, 297647067, 191474653, 518849510, 204225512, 144190444, 22547443, 18719734, 96836599, 211299326, 157821957, 172891141, 131853323, 172534795, 231070732, 151317520, 35509264, 82555930, 242418726, 13655079, 291943465, 610602027, 212790318, 15219762, 229166132, 105595965, 75242559, 200770625, 39554116, 11500622, 35433552, 103935061, 262831195, 417297501, 13868126, 181793890, 25437284, 111088741, 42734697, 73725034, 66712688, 145159282, 193526898, 56781942, 10828919, 34202746, 64425084, 134036607, 194012292, 33752200, 193805448, 175715466, 197207182, 313908369, 118572183, 169338008, 261995697, 370914489, 194423998, 80055490, 197242052, 167302341, 396809414, 277437638, 16374991, 373974229, 558626005, 58920155, 160642273, 99712228, 223321324, 133876976, 47920369, 29314299, 62715136, 134743300, 36826373, 5557511, 145134857, 81380624, 311158035, 112162069, 184579352, 247629088, 15877409, 236098854, 152534310, 393033000, 592098600, 146881834, 157400364, 321297711, 302689588, 81206, 37887296, 568641, 184522054, 273245511, 143459666, 189490517, 223808857, 3501402, 69948764, 89759069, 234526060, 146931054, 485197169, 182644082, 358100341, 223849846, 22041979, 49608060, 420183422, 211203461, 206677382, 55733638, 139177350, 18718092, 69062029, 89081238, 140645785, 241665438, 445539744, 216843689, 4933039, 172035503, 191817138, 200357301, 405638586, 175410620, 156102078, 470191550, 184712638, 90885573, 13370824, 177661385, 231126473, 26693069, 225643984, 42630615, 186154455, 277560795, 143767010, 175519209, 158559736, 144252408, 78161402, 143951359, 299253248, 198690305, 149192198, 169412107, 184741391, 73772561, 29709842, 83848730, 15797787, 54136351, 92093984, 166940197, 68761127, 26045992, 271451689, 209999423, 61642308, 66127431, 9804, 38231633, 211451474, 136808019, 372151892, 54928989, 236793438, 169590375, 194463341, 35866238, 89589375, 30678655, 67157633, 111193730, 106036868, 43531909, 185370250, 4742797, 12674703, 171456143, 27631248, 222789269, 157011607, 34813593, 245718687, 55352995, 250468004, 134098604, 634566323, 115994292, 78931639, 315963064, 144780986, 52592315, 140484289, 225283782, 124821194, 60712657, 79732440, 36726490, 17411802, 263358172, 325576417, 236445690, 56877050, 142348004, 14857968, 332943089, 4927218, 104226546, 252743412, 96720637, 174401278, 13629197, 248088334, 241604365, 186132240, 210444047, 33818387, 86394643, 10583831, 2316060, 88293148, 13473577, 2547497, 175818539, 10538795, 28616494, 52420405, 82374459, 98295618, 207583045, 201238344, 75632457, 76525385, 360441681, 62273363, 104771413, 350285667, 273491814, 164106092, 311517037, 157555, 5803892, 236263285, 141369206, 183867260, 6178700, 23252879, 157550480, 50943887, 183177106, 32151440, 387121048, 212193178, 3241885, 55400350, 78753695, 77723573, 20113344, 42272710, 254353350, 224929736, 137781192, 82272205, 19617745, 188829652, 94300118, 68892630, 334211033, 70262747, 16889823, 213600224, 78114784, 136998882, 552652772, 39022567, 71462892, 51892205, 17700845, 110245879, 20461561, 166610938, 218503163}"
56613,"{224159744, 166701060, 173699081, 186134537, 258170892, 104062994, 44298263, 89759770, 209598496, 148351009, 69756963, 382711845, 464631846, 306159663, 38715442, 337031218, 284215349, 88158261, 301361207, 292921401, 448897087, 94619720, 353949775, 24977503, 75341931, 24258679, 8669306, 72890495, 240081024, 123779210, 221636747, 264515729, 29411485, 371345575, 260772007, 146258094, 223228093, 121692350, 152522946, 121612484, 147828933, 154122439, 53782729, 8052946, 62294243, 157489385, 41019630, 191162607, 104675568, 88770805, 247183607, 31258872, 157268216, 194795770, 328392957, 67313918, 307228931, 28862742, 257835296, 211386667, 51732781, 289777968, 342264120, 197667129, 29643065, 151636285, 147835198, 70703426, 43606341, 62126411, 422125919, 498172255, 140978536, 328571244, 137144691, 5396853, 89543032, 210567547, 117129605, 459391365, 61946253, 101077390, 71668116, 219058580, 168427924, 202959252, 84459930, 127387, 472025501, 43614622, 319281565, 170281380, 70408624, 193919413, 336404931, 236900821, 210614750, 362011116, 166943216, 214759921, 229607923, 263971321, 188766720, 265056772, 101501447, 209836560, 20759076, 302744101, 386773547, 2009648, 317424184, 6588988, 186698303, 531628608, 282530369, 156078664, 245137993, 111090254, 134580815, 246461025, 180761191, 56621685, 193602173, 669422207, 226599554, 16771725, 456264333, 134464144, 152537763, 126319271, 121686709, 67603129, 67412673, 38533831, 317354698, 148245197, 10674894, 287609564, 222784227, 156312292, 288948966, 25291504, 254657265, 151399165, 146680576, 14283522, 497888003, 83438345, 95578891, 53127952, 44735257, 183900960, 137079598, 196807471, 57414449, 181601083, 466248535, 257706841, 186194792, 213937003, 265782130, 84202365, 157735805, 271940478, 198359938, 349404039, 16720776, 271207305, 102120334, 187761553, 172170139, 84517788, 216802208, 291640234, 302631856, 460999600, 101833651, 451320757, 98964407, 231289783, 297927617, 34319302, 46914504, 383861714, 288685024, 135932898, 15086584, 420928508, 23284739, 187456518, 62082060, 73090063, 345308181, 289287192, 170023968, 510530604, 150256687, 114164799, 132267071, 344697949, 268921957, 361544805, 563858542, 364797047, 172932216, 57105529, 182228091, 30887038, 384748672, 350229632, 117986442, 75349134, 502305937, 9448597, 483982490, 182582439, 113685681, 680187058, 172887223, 417461441, 519634114, 50385, 195634385, 62121191, 255087869, 206673149, 165020937, 136674571, 145259791, 136643857, 920855, 253826328, 521608471, 286059805, 136928543, 54740258, 199261480, 214695217, 81206, 35953975, 378627385, 85671234, 510074201, 64093530, 98780514, 314557795, 303129961, 195284332, 91073903, 195220847, 45356403, 181265783, 60568955, 72521099, 18718092, 36267419, 387243433, 224511412, 97723, 240113091, 338582989, 227102171, 315614690, 324275688, 267695603, 140787195, 357789182, 54672898, 225021443, 517213701, 200486429, 38594082, 259167778, 179113509, 354354727, 212975154, 351387196, 255139390, 108439106, 207836738, 555095619, 291348047, 170595921, 250936913, 79398490, 182490715, 353211996, 168224363, 28618349, 178511480, 332056191, 95747711, 279959171, 78980741, 41498251, 444073614, 115046036, 442322586, 6751902, 219983532, 271756972, 558333613, 668571314, 202202817, 143881927, 233072334, 196376275, 135886553, 64239329, 175846, 163278566, 129146601, 14857968, 20956922, 134395643, 157632253, 218943231, 516089604, 98152202, 111419147, 327227150, 17196822, 88831771, 211238686, 152962854, 501071662, 13131580, 275103552, 22181702, 382379848, 218449744, 27248465, 48861009, 265084756, 65627989, 135817051, 45049692, 149163872, 10835808, 115752800, 167010155, 355829617, 322557810, 56205170, 71028596, 212692853, 251955076, 189372292, 150402951, 169088908, 195932046, 29734798, 131821460, 247508884, 211322774, 289621911, 69181334, 20639650, 340785065, 478826412, 377546670, 152432563, 239599558, 170016715, 299671503, 197781462, 233095130, 372260828, 295286758, 263602155, 388081645, 51892205, 153479156, 380508149, 118913015, 139259}"
59066,set()
62335,"{1585315, 16260739, 221430857, 6388013, 294743794, 3816217, 490610875}"
65433,"{18014668, 2797615, 15185458, 1735893, 9448597, 8473111, 55164889}"
65995,"{54934019, 76755971, 233947658, 41492494, 134424592, 433295377, 86899729, 910356, 269608471, 303726105, 156041242, 83993129, 1866289, 186530868, 64463420, 651325, 8705086, 405988415, 139536960, 241598531, 3368008, 31335496, 217390666, 2057807, 81694800, 562294873, 136719449, 50731618, 1524839, 383916653, 164708464, 148117617, 4200048, 203903605, 10828919, 303753337, 172984464, 7667345, 95332500, 57578133, 115421847, 151782042, 10367644, 9376924, 10726557, 417162399, 3122874, 490610875, 34021053, 99237566, 157388991, 59034828, 169606349, 107685583, 2613972, 883931, 186094310, 1350377, 64582384, 308072690, 27261171, 149183228, 56572, 133033733, 79125768, 2785553, 10226964, 188769045, 112162069, 24437533, 44500257, 22708003, 110671655, 7523129, 197175101, 59986238, 152529216, 281542978, 53809989, 468284745, 265413964, 152330573, 226382671, 248237395, 356738392, 3501402, 139014491, 249126747, 749373278, 52704607, 133577063, 162068845, 53893498, 227860349, 211203461, 443274632, 339206026, 69062029, 179902349, 167414161, 93019026, 1052054, 417564054, 235472794, 2651038, 489994143, 87609772, 447531950, 283349935, 121562037, 490990518, 12600247, 1896907, 357347286, 19487199, 324578, 224111588, 94775270, 360539625, 499736560, 15685626}"
66203,"{3208515, 197242052, 247411462, 157930887, 3368008, 102432364, 35374, 2205237, 268356121, 5348698, 383116219, 241463133}"
