0,1
720,{2469606}
940,"{11659649, 3433218, 39924226, 89477899, 2002961, 182559777, 207122597, 325192873, 27084463, 46927544, 144230843, 167847491, 18808658, 46196052, 11151060, 234331996, 136030, 6367969, 2511208, 120158958, 139552892, 2024831}"
1185,set()
2136,{191203347}
3450,"{218996614, 117129605, 3362502}"
4047,set()
4236,"{705748451, 730176805, 678186536, 646172777, 348379886, 721075119, 658585268, 731426837, 729121685}"
4378,"{342093475, 254653477, 556817510, 695260557, 744949200, 386022420, 251575831, 620556185, 561928124}"
4492,"{247692800, 402168856, 134861336, 12819994, 516564008, 111172690, 601330259, 570290259, 143088727, 448405592, 159319137, 413050977, 220645988, 145605222, 54256742, 571441769, 264868969, 89580653, 34828400, 223891066, 195929727, 557354111, 1269893, 377166984, 163290760, 214955656, 529458829, 621195407, 210321552, 535976591, 252564, 297393816, 20756634, 97605798, 146823336, 597489327, 342465204, 539851965, 202353854, 50406084, 528396491, 208797391, 70868706, 249243370, 502144236, 297490167, 608529148, 435115260, 515075326, 22828295, 367614728, 563645196, 491326240, 176474914, 238324011, 438690094, 494830903, 574869822, 544337745, 75817305, 247811422, 115785581, 310915438, 322082164, 530789240, 574119801, 42289534, 561190795, 423192461, 106133399, 541606300, 36743072, 258737062, 249666472, 53597115, 274754494, 295813569, 615353285, 43356104, 526636490, 39225300, 464449513, 450620398}"
4731,{136037906}
4732,{38794}
5968,"{654422025, 203839458, 798245956, 419712165}"
6161,{38794}
8074,"{140882377, 158992900}"
8880,"{9111235, 260341735, 87170065, 5764023, 337048924}"
10376,set()
12881,"{276419523, 211530916, 12085093, 5287718, 69570791, 6587625, 5891498, 9479115, 2283212, 9266446, 10445968, 11326961, 200008085, 150580729, 54367676}"
12999,"{442498688, 202276185}"
13248,set()
15544,"{28054835, 95276}"
15598,set()
15919,"{185643193, 75980146, 208221740}"
16691,"{1661586, 388730902, 376317114, 32722367, 6360000, 102325440, 211385933, 271819343, 83672788, 411334360, 728324315, 12573022, 6401506, 250627685, 144198761, 182542061, 350854258, 177113975, 185115000, 302689786, 565639292, 505489407}"
18967,set()
19311,"{593373058, 157191820, 164973581, 25057551, 164546581, 721460249, 1793183, 342081192, 46535340, 280528064, 290091588, 3204171, 50733772, 204630734, 210382671, 239585746, 168176978, 131866712, 540642650, 51938397, 501885534, 323148263, 269908971, 92509431, 240566783}"
19377,set()
22283,"{791613152, 505379034, 806332565}"
22781,"{454983752, 465236463}"
22938,set()
24817,"{142821583, 315182103, 241245879, 56692667, 384572029}"
25800,"{157080737, 294250947, 370710820, 18882555, 11116155, 25722485, 434701878, 140999387}"
29303,set()
30697,"{59473155, 17262085, 1597703, 3225487, 31899151, 113928728, 89454330, 3260956, 19558561, 52488356, 43916325, 11810342, 98201637, 79416104, 112806313, 17606446, 2210739, 98897461, 34374843, 99792572, 13091900, 85068225, 70934214, 96846537, 78147274, 15291724, 749396, 12252762, 87385435, 37021660, 70160223, 25518689, 33274211, 1575140, 3921641, 703852, 108205049, 16668410, 38867964}"
32117,"{1575140, 83143497, 8503049, 180673427, 443266070, 331166}"
34323,{375573560}
38794,"{6161, 194035210}"
40122,"{561696, 2559236, 4209579, 4332982, 8007126, 84161304, 96258556}"
41161,"{5903106, 143023494, 116804359, 453872903, 31899151, 252923154, 36935699, 134574869, 15813785, 300371487, 330377119, 56475810, 263060898, 42760236, 4872620, 176456110, 1602990, 39446962, 73209266, 142908731, 584895, 313291839, 133828, 29852743, 33002192, 110341847, 22700121, 11749980, 157474014, 83942626, 199011, 5135204, 703852, 42328941, 14328565, 9027449}"
41304,set()
42173,"{58246955, 460834379, 39489555, 274425015, 37854938, 72351930, 539491902}"
43233,{12633476}
43542,set()
50667,"{374723332, 115977990, 226499337, 222949898, 75840398, 70269459, 194120979, 103648916, 2053907, 164950939, 358899101, 2482093, 247786417, 139186614, 184347574, 133335741, 194756, 222420165, 399183569, 178360145, 177396435, 387354580, 147544536, 133553880, 76846564, 157790565, 43309161, 1667307, 23342961, 214609010, 122742258, 556603636, 6333558}"
51037,{4133236}
51196,"{410650208, 370328546, 526189443, 597298151, 377229354, 292695213, 578461366, 550845846, 14761050, 114068347, 345911582}"
57493,"{312658848, 3706731, 3059756, 3717264, 6443066, 67607484, 267614}"
62642,set()
67029,"{190542882, 1755846, 430976873, 36379894, 19885849, 30248025, 13815866}"
67529,{32344022}
76332,set()
77745,set()
78606,set()
80460,{755436}
82050,"{8158889, 38737606}"
83728,set()
84654,"{108737408, 13452232, 217679242, 8043503, 56469168}"
84661,"{411429401, 163884387, 167206502}"
88859,"{19320834, 662205, 37265674, 181217101, 14531440, 2724242, 9647954, 2048501, 2931318, 172651413, 58205557, 53223485}"
93679,set()
93717,set()
95276,set()
96906,set()
97628,set()
99644,"{40706289, 61387247}"
104334,"{162777953, 284846643, 636654830}"
109041,"{12240793, 174673586}"
109319,{4087097}
118207,{674360}
121406,set()
123616,{53223485}
124604,set()
128530,"{583791330, 1176891, 354893508, 5983807}"
129136,"{13861088, 24871041, 12572715, 10580367, 358899101}"
133807,"{2262568, 8530393, 122742258}"
